seed,policy,mae,rmse,overshoot
42,Expert,1.779147895556047,2.6696970114715683,14.854198977052803
42,DDPG-A1,0.09819965649186685,0.9417929488061823,14.864503791981505
42,DDPG-A2,0.09885069365546328,0.9468614144373767,14.864502158595727
42,TD3-A1,0.09885046942539508,0.9468596368423022,14.864502158634707
42,TD3-A2,0.09841571922800153,0.9193043672064336,14.739191003257602
36,Expert,1.9684107502110428,2.863492976093375,17.02930130877435
36,DDPG-A1,0.08697368977176903,0.8697379154687119,14.829180636153211
36,DDPG-A2,0.08743512732268781,0.8737073063205539,14.82956104327286
36,TD3-A1,0.0874349747517974,0.8737059548820276,14.82956107716835
36,TD3-A2,0.0883539074557377,0.8496906410253596,14.688099888209095
27,Expert,2.1459768453669787,3.3672482616256825,15.685265170369917
27,DDPG-A1,0.1750341843673272,1.2602722559675485,14.878946864712816
27,DDPG-A2,0.17606953584589669,1.2663208455710122,14.878954992266642
27,TD3-A1,0.1760691866179454,1.2663187832137006,14.878954988567102
27,TD3-A2,282.23765722483597,306.5377165443308,410.62586408268874
21,Expert,2.075358521363078,2.9472114462993075,20.648481920078524
21,DDPG-A1,0.09213478454677508,0.8955183892996942,14.873324951614066
21,DDPG-A2,0.09280781693716116,0.901085789691468,14.873326152629105
21,TD3-A1,0.09280758321093897,0.9010838224273103,14.873326152580262
21,TD3-A2,70.37103005888233,153.71785590839556,416.2661138904186
14,Expert,1.3863207698490199,2.149003470027028,15.477042178960573
14,DDPG-A1,0.06620052442273046,0.7631693384838623,14.834300929478815
14,DDPG-A2,0.06658046789152236,0.7668059100031296,14.834302026253994
14,TD3-A1,0.06658032938841908,0.7668045654981448,14.834302026171912
14,TD3-A2,334.4023835921102,341.580152774321,432.3719835717291
23,Expert,1.869064861593404,2.7459784510588774,18.025736196971962
23,DDPG-A1,0.09309245608228577,0.9026480846413678,14.838418324935049
23,DDPG-A2,0.0938321137366192,0.9086669752515094,14.8384506121171
23,TD3-A1,0.09383185531791578,0.9086648390265888,14.838450610691211
23,TD3-A2,313.1500090520148,339.60431724733667,431.2712800915781
39,Expert,2.4716012432498733,3.340682445515207,17.15207086830371
39,DDPG-A1,0.10108625583789038,0.943333612241498,14.968549677442226
39,DDPG-A2,0.10174053000428168,0.9485945485315035,14.968578933016602
39,TD3-A1,0.10174029598933437,0.9485926477468088,14.968578941433265
39,TD3-A2,0.10290758308406033,0.9223179186037109,14.85111697465247
94,Expert,2.240536608688005,3.162350268995701,17.43323352312406
94,DDPG-A1,0.12485453847143275,1.0537105820057255,14.993360332359543
94,DDPG-A2,0.12555007027290346,1.0585215784187056,14.993295187443323
94,TD3-A1,0.12554982896008435,1.0585198809141554,14.99329519806679
94,TD3-A2,283.77630344921306,302.75909900778817,403.8572173535085
15,Expert,2.2261657548015332,3.0906124685895575,15.131719929083033
15,DDPG-A1,0.07391077698659133,0.7794424296060752,14.89958246350109
15,DDPG-A2,0.07435751518286589,0.7836837200598219,14.899574510017558
15,TD3-A1,0.07435735302190075,0.7836821358867854,14.899574518702451
15,TD3-A2,293.64381991676845,302.2910067024977,424.69987953361465
88,Expert,2.347773080594006,3.244630154562781,18.592408742391584
88,DDPG-A1,0.07871803453774195,0.8085475968175264,14.831474109997188
88,DDPG-A2,0.07922541007470392,0.8132336476959212,14.831475597610634
88,TD3-A1,0.079225227071576,0.8132319069008633,14.83147559801344
88,TD3-A2,39.15878224939263,97.76226994900294,318.504947440008
26,Expert,2.280183917512923,3.115576478184001,19.48354373513503
26,DDPG-A1,0.09565408001468595,0.9087488797745134,14.811588766107107
26,DDPG-A2,0.09615978504926602,0.9128804796884741,14.811589295106216
26,TD3-A1,0.09615961048634326,0.9128790269432164,14.811589299867748
26,TD3-A2,0.09686311520781529,0.8891279592953115,14.706680367892375
83,Expert,1.7601991471750758,2.6058943337395966,14.718023951038859
83,DDPG-A1,0.06869033191278097,0.7381078549790416,14.786762466708282
83,DDPG-A2,0.06909950364888681,0.7421927568871085,14.78676173456968
83,TD3-A1,0.06909935483333816,0.7421912327169922,14.786761734507948
83,TD3-A2,74.00575020274098,153.3777803785152,382.2996793765529
51,Expert,2.412289540425476,3.4219202947562097,21.443155258328005
51,DDPG-A1,0.09902206427572022,0.9076224985787676,14.817597678089527
51,DDPG-A2,0.09951486717994046,0.9116187802165252,14.817604788100027
51,TD3-A1,0.09951469013180764,0.9116172978218419,14.817604783730388
51,TD3-A2,146.7329724475275,212.19763773956106,372.6476044349679
18,Expert,1.4066736072831751,2.3948618619542756,15.361587165492836
18,DDPG-A1,0.06549940734158322,0.7516431812610163,14.841204595710835
18,DDPG-A2,0.06582350775303011,0.7548233271592667,14.841213496764354
18,TD3-A1,0.06582340466279507,0.754822298501083,14.841213493697154
18,TD3-A2,0.06616414018330281,0.7403698356978375,14.725132516507145
68,Expert,1.9583797682067858,2.9775093920785225,17.13795654049244
68,DDPG-A1,0.08325493403178472,0.8400569027973166,14.823087938034504
68,DDPG-A2,0.08372681236441598,0.844211374237124,14.823098314197594
68,TD3-A1,0.08372665534018216,0.8442099589360101,14.82309831537458
68,TD3-A2,0.08389188291780264,0.8193978770003042,14.710973375872754
86,Expert,1.8538213877439853,2.824898963989446,17.98034517475311
86,DDPG-A1,0.12935623485198136,1.0872661207675436,14.80106246974843
86,DDPG-A2,0.13012754413958025,1.0925237706384674,14.80106090811654
86,TD3-A1,0.13012726955291998,1.0925218619285837,14.801060907781164
86,TD3-A2,339.4282727046246,345.7764675738955,416.6010878224547
33,Expert,2.0774202266997293,2.9122230958819593,22.505267578422945
33,DDPG-A1,0.07695221887251337,0.8160590573721146,14.81703185952641
33,DDPG-A2,0.07746159734105695,0.820720271324571,14.817032728101111
33,TD3-A1,0.07746141670688016,0.8207185892763362,14.817032728180777
33,TD3-A2,270.3529836039421,306.0501185788343,421.3048773833717
47,Expert,1.9748661691703089,2.9375395571866143,21.484561095825967
47,DDPG-A1,0.09629922987429564,0.9257605317994189,14.798391727943695
47,DDPG-A2,0.09699782200141693,0.9312677148224054,14.798389587207254
47,TD3-A1,0.09699756644357077,0.9312656761656845,14.798389587721573
47,TD3-A2,15.48221591246752,63.94776671022804,340.94296959840796
99,Expert,1.5414110486547132,2.5523820233716257,14.967747209015613
99,DDPG-A1,0.06851154116834227,0.7548137657906637,14.794074990343603
99,DDPG-A2,0.06905011364480261,0.7600287624155557,14.794077332447031
99,TD3-A1,0.06904991900166861,0.7600268489272393,14.794077332498617
99,TD3-A2,356.41855179069097,362.20617517334847,433.22304835486773
57,Expert,2.2066165468235743,3.0399220513938805,16.195068664526787
57,DDPG-A1,0.10593871277448995,0.9695574383442777,14.855448708922367
57,DDPG-A2,0.10668473874677577,0.9752494770058748,14.855449132183566
57,TD3-A1,0.10668448030330652,0.9752474745876212,14.855449132207468
57,TD3-A2,0.10576919967771188,0.9431009769055252,14.738201384054832
52,Expert,2.0900107844433893,3.057795474647496,16.744952366838987
52,DDPG-A1,0.11035294544493597,0.995577934521471,14.861772115388504
